Source,Target,rel
R,AWS,0.099137931
R,Scala,0.038793103
R,NoSQL,0.034482759
R,C/C++,0.012931034
R,Natural Language Processing,0.012931034
R,Oracle,0.24137931
R,Data Warehouse,0.064655172
R,Linux,0.030172414
R,AI,0.068965517
R,Microsoft SQL Server,0.021551724
R,TensorFlow,0.004310345
R,Kafka,0.00862069
R,Data Analysis,0.086206897
R,Azure,0.030172414
R,MATLAB,0.017241379
R,Microsoft Office,0.13362069
R,Scripting,0.025862069
R,Pig,0.012931034
R,Git,0.051724138
R,Excel,1.206896552
R,JavaScript,0.043103448
R,HBase,0.00862069
R,PostgreSQL,0.051724138
R,MySQL,0.090517241
R,Perl,0.025862069
Hadoop,Python,0.051724138
Hadoop,SQL,0.060344828
Hadoop,Machine Learning,0.004310345
Hadoop,R,0.073275862
Hadoop,Spark,0.030172414
Hadoop,Java,0.017241379
Hadoop,Tableau,0.038793103
Hadoop,Hive,0.043103448
Hadoop,SAS,0.021551724
Hadoop,Big Data,0.012931034
Hadoop,AWS,0.017241379
Hadoop,Scala,0.004310345
Hadoop,NoSQL,0.00862069
Hadoop,Oracle,0.017241379
Hadoop,Linux,0.012931034
Hadoop,Kafka,0.004310345
Hadoop,Microsoft Office,0.004310345
Hadoop,Pig,0.012931034
Hadoop,Excel,0.030172414
Hadoop,JavaScript,0.00862069
Hadoop,HBase,0.00862069
Hadoop,MySQL,0.004310345
Hadoop,Perl,0.004310345
Spark,Python,0.064655172
Spark,SQL,0.068965517
Spark,Machine Learning,0.004310345
Spark,R,0.086206897
Spark,Hadoop,0.030172414
Spark,Java,0.017241379
Spark,Tableau,0.034482759
Spark,Hive,0.025862069
Spark,SAS,0.012931034
Spark,Big Data,0.021551724
Spark,AWS,0.030172414
Spark,Scala,0.00862069
Spark,NoSQL,0.00862069
Spark,Oracle,0.00862069
Spark,Linux,0.004310345
Spark,AI,0.004310345
Spark,Kafka,0.004310345
Spark,Azure,0.004310345
Spark,Microsoft Office,0.004310345
Spark,Pig,0.012931034
Spark,Excel,0.038793103
Spark,JavaScript,0.004310345
Spark,HBase,0.00862069
Spark,MySQL,0.00862069
Java,Python,0.150862069
Java,SQL,0.181034483
Java,Machine Learning,0.021551724
Java,R,0.189655172
Java,Hadoop,0.017241379
Java,Spark,0.017241379
Java,Tableau,0.112068966
Java,Hive,0.012931034
Java,SAS,0.056034483
Java,Big Data,0.004310345
Java,AWS,0.025862069
Java,Scala,0.017241379
Java,NoSQL,0.00862069
Java,C/C++,0.012931034
Java,Natural Language Processing,0.012931034
Java,Oracle,0.038793103
Java,Data Warehouse,0.004310345
Java,Linux,0.004310345
Java,AI,0.012931034
Java,Kafka,0.004310345
Java,Data Analysis,0.012931034
Java,Azure,0.00862069
Java,Microsoft Office,0.017241379
Java,Pig,0.004310345
Java,Git,0.021551724
Java,Excel,0.11637931
Java,JavaScript,0.043103448
Java,HBase,0.004310345
Java,PostgreSQL,0.021551724
Java,MySQL,0.034482759
Java,Perl,0.017241379
Tableau,Python,0.379310345
Tableau,SQL,0.538793103
Tableau,Machine Learning,0.030172414
Tableau,R,0.603448276
Tableau,Hadoop,0.038793103
Tableau,Spark,0.034482759
Tableau,Java,0.112068966
Tableau,Hive,0.017241379
Tableau,SAS,0.129310345
Tableau,Big Data,0.025862069
Tableau,AWS,0.056034483
Tableau,Scala,0.017241379
Tableau,NoSQL,0.00862069
Tableau,C/C++,0.012931034
Tableau,Natural Language Processing,0.012931034
Tableau,Oracle,0.086206897
Tableau,Data Warehouse,0.030172414
Tableau,Linux,0.021551724
Tableau,AI,0.034482759
Tableau,Microsoft SQL Server,0.017241379
Tableau,TensorFlow,0.004310345
Tableau,Data Analysis,0.025862069
Tableau,Azure,0.021551724
Tableau,Microsoft Office,0.038793103
Tableau,Scripting,0.017241379
Tableau,Git,0.021551724
Tableau,Excel,0.409482759
Tableau,JavaScript,0.030172414
Tableau,PostgreSQL,0.025862069
Tableau,MySQL,0.043103448
Tableau,Perl,0.012931034
Hive,Python,0.030172414
Hive,SQL,0.043103448
Hive,R,0.043103448
Hive,Hadoop,0.043103448
Hive,Spark,0.025862069
Hive,Java,0.012931034
Hive,Tableau,0.017241379
Hive,SAS,0.004310345
Hive,Big Data,0.00862069
Hive,AWS,0.012931034
Hive,Scala,0.004310345
Hive,NoSQL,0.004310345
Hive,Oracle,0.00862069
Hive,Linux,0.012931034
Hive,Kafka,0.004310345
Hive,Pig,0.012931034
Hive,Excel,0.021551724
Hive,JavaScript,0.00862069
Hive,HBase,0.00862069
Hive,MySQL,0.004310345
Hive,Perl,0.004310345
SAS,Python,0.159482759
SAS,SQL,0.297413793
SAS,Machine Learning,0.017241379
SAS,R,0.336206897
SAS,Hadoop,0.021551724
SAS,Spark,0.012931034
SAS,Java,0.056034483
SAS,Tableau,0.129310345
SAS,Hive,0.004310345
SAS,Big Data,0.00862069
SAS,AWS,0.017241379
SAS,Scala,0.012931034
SAS,NoSQL,0.004310345
SAS,Natural Language Processing,0.012931034
SAS,Oracle,0.051724138
SAS,Data Warehouse,0.00862069
SAS,Linux,0.004310345
SAS,AI,0.017241379
SAS,TensorFlow,0.004310345
SAS,Azure,0.00862069
SAS,MATLAB,0.00862069
SAS,Microsoft Office,0.034482759
SAS,Scripting,0.00862069
SAS,Excel,0.254310345
SAS,JavaScript,0.017241379
SAS,PostgreSQL,0.012931034
SAS,MySQL,0.012931034
Big Data,Python,0.030172414
Big Data,SQL,0.038793103
Big Data,Machine Learning,0.004310345
Big Data,R,0.051724138
Big Data,Hadoop,0.012931034
Big Data,Spark,0.021551724
Big Data,Java,0.004310345
Big Data,Tableau,0.025862069
Big Data,Hive,0.00862069
Big Data,SAS,0.00862069
Big Data,AWS,0.012931034
Big Data,Scala,0.00862069
Big Data,NoSQL,0.012931034
Big Data,Oracle,0.012931034
Big Data,Linux,0.00862069
Big Data,Data Analysis,0.004310345
Big Data,Azure,0.00862069
Big Data,Excel,0.017241379
Big Data,HBase,0.004310345
Big Data,MySQL,0.004310345
AWS,Python,0.077586207
AWS,SQL,0.090517241
AWS,Machine Learning,0.012931034
AWS,R,0.099137931
AWS,Hadoop,0.017241379
AWS,Spark,0.030172414
AWS,Java,0.025862069
AWS,Tableau,0.056034483
AWS,Hive,0.012931034
AWS,SAS,0.017241379
AWS,Big Data,0.012931034
AWS,Scala,0.012931034
AWS,NoSQL,0.004310345
AWS,Oracle,0.00862069
AWS,Data Warehouse,0.004310345
AWS,AI,0.012931034
AWS,Data Analysis,0.021551724
AWS,Azure,0.00862069
AWS,Microsoft Office,0.00862069
AWS,Pig,0.00862069
AWS,Git,0.004310345
AWS,Excel,0.043103448
AWS,PostgreSQL,0.012931034
AWS,MySQL,0.017241379
Scala,Python,0.038793103
Scala,SQL,0.030172414
Scala,Machine Learning,0.00862069
Scala,R,0.038793103
Scala,Hadoop,0.004310345
Scala,Spark,0.00862069
Scala,Java,0.017241379
Scala,Tableau,0.017241379
Scala,Hive,0.004310345
Scala,SAS,0.012931034
Scala,Big Data,0.00862069
Scala,AWS,0.012931034
Scala,NoSQL,0.00862069
Scala,Oracle,0.004310345
Scala,AI,0.00862069
Scala,Kafka,0.004310345
Scala,Azure,0.004310345
Scala,Microsoft Office,0.00862069
Scala,Pig,0.004310345
Scala,Excel,0.012931034
Scala,HBase,0.004310345
Scala,MySQL,0.004310345
NoSQL,Python,0.021551724
NoSQL,SQL,0.034482759
NoSQL,R,0.034482759
NoSQL,Hadoop,0.00862069
NoSQL,Spark,0.00862069
NoSQL,Java,0.00862069
NoSQL,Tableau,0.00862069
NoSQL,Hive,0.004310345
NoSQL,SAS,0.004310345
NoSQL,Big Data,0.012931034
NoSQL,AWS,0.004310345
NoSQL,Scala,0.00862069
NoSQL,Oracle,0.012931034
NoSQL,Linux,0.004310345
NoSQL,Azure,0.00862069
NoSQL,Excel,0.004310345
NoSQL,HBase,0.004310345
NoSQL,MySQL,0.004310345
C/C++,Python,0.012931034
C/C++,SQL,0.012931034
C/C++,R,0.012931034
C/C++,Java,0.012931034
C/C++,Tableau,0.012931034
Natural Language Processing,Python,0.012931034
Natural Language Processing,SQL,0.012931034
Natural Language Processing,Machine Learning,0.012931034
Natural Language Processing,R,0.012931034
Natural Language Processing,Java,0.012931034
Natural Language Processing,Tableau,0.012931034
Natural Language Processing,SAS,0.012931034
Natural Language Processing,Excel,0.012931034
Natural Language Processing,JavaScript,0.012931034
Oracle,Python,0.081896552
Oracle,SQL,0.215517241
Oracle,R,0.24137931
Oracle,Hadoop,0.017241379
Oracle,Spark,0.00862069
Oracle,Java,0.038793103
Oracle,Tableau,0.086206897
Oracle,Hive,0.00862069
Oracle,SAS,0.051724138
Oracle,Big Data,0.012931034
Oracle,AWS,0.00862069
Oracle,Scala,0.004310345
Oracle,NoSQL,0.012931034
Oracle,Data Warehouse,0.021551724
Oracle,Linux,0.012931034
Oracle,AI,0.00862069
Oracle,Microsoft SQL Server,0.021551724
Oracle,Data Analysis,0.004310345
Oracle,Azure,0.025862069
Oracle,Microsoft Office,0.021551724
Oracle,Scripting,0.017241379
Oracle,Git,0.00862069
Oracle,Excel,0.150862069
Oracle,JavaScript,0.00862069
Oracle,HBase,0.004310345
Oracle,PostgreSQL,0.021551724
Oracle,MySQL,0.034482759
Oracle,Perl,0.004310345
Data Warehouse,Python,0.012931034
Data Warehouse,SQL,0.060344828
Data Warehouse,R,0.064655172
Data Warehouse,Java,0.004310345
Data Warehouse,Tableau,0.030172414
Data Warehouse,SAS,0.00862069
Data Warehouse,AWS,0.004310345
Data Warehouse,Oracle,0.021551724
Data Warehouse,Microsoft SQL Server,0.00862069
Data Warehouse,Azure,0.004310345
Data Warehouse,Scripting,0.00862069
Data Warehouse,Git,0.004310345
Data Warehouse,Excel,0.043103448
Data Warehouse,PostgreSQL,0.00862069
Data Warehouse,MySQL,0.00862069
Linux,Python,0.021551724
Linux,SQL,0.030172414
Linux,R,0.030172414
Linux,Hadoop,0.012931034
Linux,Spark,0.004310345
Linux,Java,0.004310345
Linux,Tableau,0.021551724
Linux,Hive,0.012931034
Linux,SAS,0.004310345
Linux,Big Data,0.00862069
Linux,NoSQL,0.004310345
Linux,Oracle,0.012931034
Linux,Microsoft Office,0.004310345
Linux,Excel,0.012931034
Linux,JavaScript,0.004310345
Linux,HBase,0.004310345
Linux,Perl,0.004310345
AI,Python,0.025862069
AI,SQL,0.030172414
AI,Machine Learning,0.012931034
AI,R,0.068965517
AI,Spark,0.004310345
AI,Java,0.012931034
AI,Tableau,0.034482759
AI,SAS,0.017241379
AI,AWS,0.012931034
AI,Scala,0.00862069
AI,Oracle,0.00862069
AI,Data Analysis,0.00862069
AI,Microsoft Office,0.00862069
AI,Excel,0.043103448
AI,PostgreSQL,0.004310345
AI,MySQL,0.004310345
Microsoft SQL Server,Python,0.017241379
Microsoft SQL Server,SQL,0.021551724
Microsoft SQL Server,R,0.021551724
Microsoft SQL Server,Tableau,0.017241379
Microsoft SQL Server,Oracle,0.021551724
Microsoft SQL Server,Data Warehouse,0.00862069
Microsoft SQL Server,Azure,0.00862069
Microsoft SQL Server,Microsoft Office,0.00862069
Microsoft SQL Server,Scripting,0.00862069
Microsoft SQL Server,Excel,0.012931034
TensorFlow,Python,0.004310345
TensorFlow,SQL,0.004310345
TensorFlow,R,0.004310345
TensorFlow,Tableau,0.004310345
TensorFlow,SAS,0.004310345
Kafka,Python,0.004310345
Kafka,SQL,0.00862069
Kafka,R,0.00862069
Kafka,Hadoop,0.004310345
Kafka,Spark,0.004310345
Kafka,Java,0.004310345
Kafka,Hive,0.004310345
Kafka,Scala,0.004310345
Kafka,Pig,0.004310345
Kafka,Excel,0.004310345
Kafka,HBase,0.004310345
Data Analysis,Python,0.021551724
Data Analysis,SQL,0.068965517
Data Analysis,Machine Learning,0.004310345
Data Analysis,R,0.086206897
Data Analysis,Java,0.012931034
Data Analysis,Tableau,0.025862069
Data Analysis,Big Data,0.004310345
Data Analysis,AWS,0.021551724
Data Analysis,Oracle,0.004310345
Data Analysis,AI,0.00862069
Data Analysis,Azure,0.004310345
Data Analysis,Excel,0.043103448
Data Analysis,PostgreSQL,0.012931034
Data Analysis,MySQL,0.012931034
Azure,Python,0.017241379
Azure,SQL,0.030172414
Azure,R,0.030172414
Azure,Spark,0.004310345
Azure,Java,0.00862069
Azure,Tableau,0.021551724
Azure,SAS,0.00862069
Azure,Big Data,0.00862069
Azure,AWS,0.00862069
Azure,Scala,0.004310345
Azure,NoSQL,0.00862069
Azure,Oracle,0.025862069
Azure,Data Warehouse,0.004310345
Azure,Microsoft SQL Server,0.00862069
Azure,Data Analysis,0.004310345
Azure,Microsoft Office,0.00862069
Azure,Excel,0.021551724
Azure,MySQL,0.004310345
MATLAB,SQL,0.00862069
MATLAB,R,0.017241379
MATLAB,SAS,0.00862069
MATLAB,Microsoft Office,0.00862069
MATLAB,Excel,0.00862069
Microsoft Office,Python,0.034482759
Microsoft Office,SQL,0.073275862
Microsoft Office,Machine Learning,0.00862069
Microsoft Office,R,0.13362069
Microsoft Office,Hadoop,0.004310345
Microsoft Office,Spark,0.004310345
Microsoft Office,Java,0.017241379
Microsoft Office,Tableau,0.038793103
Microsoft Office,SAS,0.034482759
Microsoft Office,AWS,0.00862069
Microsoft Office,Scala,0.00862069
Microsoft Office,Oracle,0.021551724
Microsoft Office,Linux,0.004310345
Microsoft Office,AI,0.00862069
Microsoft Office,Microsoft SQL Server,0.00862069
Microsoft Office,Azure,0.00862069
Microsoft Office,MATLAB,0.00862069
Microsoft Office,Excel,0.129310345
Scripting,Python,0.00862069
Scripting,SQL,0.025862069
Scripting,R,0.025862069
Scripting,Tableau,0.017241379
Scripting,SAS,0.00862069
Scripting,Oracle,0.017241379
Scripting,Data Warehouse,0.00862069
Scripting,Microsoft SQL Server,0.00862069
Scripting,Excel,0.00862069
Pig,Python,0.012931034
Pig,SQL,0.012931034
Pig,R,0.012931034
Pig,Hadoop,0.012931034
Pig,Spark,0.012931034
Pig,Java,0.004310345
Pig,Hive,0.012931034
Pig,AWS,0.00862069
Pig,Scala,0.004310345
Pig,Kafka,0.004310345
Pig,Excel,0.004310345
Pig,HBase,0.004310345
Git,Python,0.043103448
Git,SQL,0.043103448
Git,R,0.051724138
Git,Java,0.021551724
Git,Tableau,0.021551724
Git,AWS,0.004310345
Git,Oracle,0.00862069
Git,Data Warehouse,0.004310345
Git,Excel,0.012931034
Git,PostgreSQL,0.00862069
Git,MySQL,0.00862069
Excel,Python,0.418103448
Excel,SQL,0.88362069
Excel,Machine Learning,0.030172414
Excel,R,1.206896552
Excel,Hadoop,0.030172414
Excel,Spark,0.038793103
Excel,Java,0.11637931
Excel,Tableau,0.409482759
Excel,Hive,0.021551724
Excel,SAS,0.254310345
Excel,Big Data,0.017241379
Excel,AWS,0.043103448
Excel,Scala,0.012931034
Excel,NoSQL,0.004310345
Excel,Natural Language Processing,0.012931034
Excel,Oracle,0.150862069
Excel,Data Warehouse,0.043103448
Excel,Linux,0.012931034
Excel,AI,0.043103448
Excel,Microsoft SQL Server,0.012931034
Excel,Kafka,0.004310345
Excel,Data Analysis,0.043103448
Excel,Azure,0.021551724
Excel,MATLAB,0.00862069
Excel,Microsoft Office,0.129310345
Excel,Scripting,0.00862069
Excel,Pig,0.004310345
Excel,Git,0.012931034
Excel,JavaScript,0.034482759
Excel,PostgreSQL,0.012931034
Excel,MySQL,0.043103448
Excel,Perl,0.025862069
JavaScript,Python,0.034482759
JavaScript,SQL,0.030172414
JavaScript,Machine Learning,0.012931034
JavaScript,R,0.043103448
JavaScript,Hadoop,0.00862069
JavaScript,Spark,0.004310345
JavaScript,Java,0.043103448
JavaScript,Tableau,0.030172414
JavaScript,Hive,0.00862069
JavaScript,SAS,0.017241379
JavaScript,Natural Language Processing,0.012931034
JavaScript,Oracle,0.00862069
JavaScript,Linux,0.004310345
JavaScript,Excel,0.034482759
JavaScript,MySQL,0.004310345
JavaScript,Perl,0.00862069
HBase,Python,0.004310345
HBase,SQL,0.00862069
HBase,R,0.00862069
HBase,Hadoop,0.00862069
HBase,Spark,0.00862069
HBase,Java,0.004310345
HBase,Hive,0.00862069
HBase,Big Data,0.004310345
HBase,Scala,0.004310345
HBase,NoSQL,0.004310345
HBase,Oracle,0.004310345
HBase,Linux,0.004310345
HBase,Kafka,0.004310345
HBase,Pig,0.004310345
PostgreSQL,Python,0.038793103
PostgreSQL,SQL,0.051724138
PostgreSQL,R,0.051724138
PostgreSQL,Java,0.021551724
PostgreSQL,Tableau,0.025862069
PostgreSQL,SAS,0.012931034
PostgreSQL,AWS,0.012931034
PostgreSQL,Oracle,0.021551724
PostgreSQL,Data Warehouse,0.00862069
PostgreSQL,AI,0.004310345
PostgreSQL,Data Analysis,0.012931034
PostgreSQL,Git,0.00862069
PostgreSQL,Excel,0.012931034
PostgreSQL,MySQL,0.047413793
MySQL,Python,0.064655172
MySQL,SQL,0.090517241
MySQL,R,0.090517241
MySQL,Hadoop,0.004310345
MySQL,Spark,0.00862069
MySQL,Java,0.034482759
MySQL,Tableau,0.043103448
MySQL,Hive,0.004310345
MySQL,SAS,0.012931034
MySQL,Big Data,0.004310345
MySQL,AWS,0.017241379
MySQL,Scala,0.004310345
MySQL,NoSQL,0.004310345
MySQL,Oracle,0.034482759
MySQL,Data Warehouse,0.00862069
MySQL,AI,0.004310345
MySQL,Data Analysis,0.012931034
MySQL,Azure,0.004310345
MySQL,Git,0.00862069
MySQL,Excel,0.043103448
MySQL,JavaScript,0.004310345
MySQL,PostgreSQL,0.047413793
Perl,Python,0.017241379
Perl,SQL,0.017241379
Perl,R,0.025862069
Perl,Hadoop,0.004310345
Perl,Java,0.017241379
Perl,Tableau,0.012931034
Perl,Hive,0.004310345
Perl,Oracle,0.004310345
Perl,Linux,0.004310345
Perl,Excel,0.025862069
Perl,JavaScript,0.00862069
